Beatrice Pedrielli,822-364-8685,bpedrielli0@senate.gov,1963-10-19
Glynda Maddison,222-836-0634,gmaddison1@smugmug.com,1961-08-06
Stephani Tuohy,202-358-4890,stuohy2@addthis.com,2003-08-14
Joellen Antoniat,774-512-3322,jantoniat3@un.org,2002-07-12
Winni Streight,688-257-6658,wstreight4@gmpg.org,1961-09-16
Trev Chrystie,764-942-7520,tchrystie5@cmu.edu,1968-12-03
Grace Retchford,226-789-5968,gretchford6@springer.com,1962-11-02
Nydia Ashford,903-595-3167,nashford7@europa.eu,1969-12-23
Jenni Borel,494-284-1409,jborel8@squidoo.com,1976-01-16
Otha Alabone,713-514-1805,oalabone9@dion.ne.jp,2015-01-11
